Suburb,Rooms,Type,Price,Method,SellerG,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Year,Month,Day,Weekday,Week
0,2,0,870000.0,6,155,2.5,3067.0,2.0,1.0,1.0,126.0,136.0,1970.0,31,-37.8014,144.9958,2,4019.0,2016,9,3,5,35
0,2,0,1480000.0,2,33,2.5,3067.0,2.0,1.0,1.0,202.0,136.0,1970.0,31,-37.7996,144.9984,2,4019.0,2016,12,3,5,48
0,2,0,1035000.0,2,33,2.5,3067.0,2.0,1.0,0.0,156.0,79.0,1900.0,31,-37.8079,144.9934,2,4019.0,2016,2,4,3,5
0,3,2,870000.0,7,296,2.5,3067.0,3.0,2.0,1.0,0.0,136.0,1970.0,31,-37.8114,145.0116,2,4019.0,2016,2,4,3,5
0,3,0,1465000.0,5,33,2.5,3067.0,3.0,2.0,0.0,134.0,150.0,1900.0,31,-37.8093,144.9944,2,4019.0,2017,3,4,5,9
0,3,0,850000.0,0,33,2.5,3067.0,3.0,2.0,1.0,94.0,136.0,1970.0,31,-37.7969,144.9969,2,4019.0,2017,3,4,5,9
0,4,0,1600000.0,7,227,2.5,3067.0,3.0,1.0,2.0,120.0,142.0,2014.0,31,-37.8072,144.9941,2,4019.0,2016,6,4,5,22
0,4,0,870000.0,4,227,2.5,3067.0,3.0,2.0,2.0,400.0,220.0,2006.0,31,-37.7965,144.9965,2,4019.0,2016,8,6,5,31
0,2,0,870000.0,2,33,2.5,3067.0,4.0,1.0,2.0,201.0,136.0,1900.0,31,-37.7995,144.9974,2,4019.0,2016,8,6,5,31
0,2,0,870000.0,2,74,2.5,3067.0,3.0,2.0,1.0,202.0,136.0,1900.0,31,-37.7996,144.9989,2,4019.0,2016,8,6,5,31
0,2,0,941000.0,2,155,2.5,3067.0,2.0,1.0,0.0,181.0,136.0,1970.0,31,-37.8041,144.9953,2,4019.0,2016,5,7,5,18
0,3,0,1876000.0,2,227,2.5,3067.0,4.0,2.0,0.0,245.0,210.0,1910.0,31,-37.8024,144.9993,2,4019.0,2016,5,7,5,18
0,2,2,870000.0,0,33,2.5,3067.0,2.0,2.0,1.0,4292.0,82.0,2009.0,31,-37.8078,144.9965,2,4019.0,2016,11,7,0,45
0,4,0,870000.0,8,33,2.5,3067.0,6.0,2.0,0.0,230.0,147.0,1860.0,31,-37.8066,144.9936,2,4019.0,2016,11,7,0,45
